SYSQ1,SYSQ2,SYSQ3,IQ1,IQ2,IQ3,IQ4,SERVQ1,SERVQ2,SERVQ3,SERVQ4,SAT1,SAT2,SAT3,LT1,LT2,LT3,GENDER
4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,1
4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,1
3,2,3,2,3,2,3,3,3,2,3,4,4,4,4,4,4,1
3,2,3,2,3,2,3,3,3,2,3,4,4,4,4,4,4,1
4,4,4,4,3,4,4,4,4,5,5,4,3,4,4,3,3,1
4,3,3,4,4,4,4,4,4,3,3,3,4,4,3,3,4,1
3,2,3,3,3,2,3,3,3,3,4,3,4,4,3,4,3,2
4,4,3,4,4,4,4,5,5,4,4,4,4,4,4,3,3,1
4,4,3,4,5,3,3,5,5,4,4,5,4,4,2,3,3,1
4,4,3,4,4,4,4,4,4,4,4,3,3,4,4,5,3,1
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,1
2,3,3,3,3,2,2,2,2,3,3,3,3,3,3,4,4,1
3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1
4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
4,4,4,4,3,4,4,4,4,5,5,4,3,4,4,3,3,1
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1
4,4,3,4,4,4,4,5,5,4,4,4,4,4,4,3,3,1
4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
3,3,3,2,3,3,3,2,3,3,3,4,3,3,3,3,3,1
3,4,4,4,3,4,4,4,4,5,5,4,4,4,4,4,4,1
4,4,4,4,3,4,5,3,3,5,5,4,4,5,4,2,2,1
4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,2
4,4,4,4,3,4,5,3,3,5,5,4,4,5,4,2,2,1
3,3,3,2,3,3,3,2,3,3,3,4,3,3,3,3,3,1
4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,1
3,3,3,2,3,3,3,2,3,3,3,4,3,3,3,3,3,1
3,4,4,4,3,4,4,4,4,5,5,4,4,4,4,4,4,1
4,4,4,4,3,4,5,3,3,5,5,4,4,5,4,2,2,1
4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,2
2,3,2,2,2,2,2,3,2,3,3,2,2,2,2,2,2,2
2,3,2,2,2,2,2,3,2,3,3,2,2,2,2,2,2,2
3,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2
4,4,3,4,4,4,4,5,5,4,4,4,4,4,4,3,3,1
4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
2,3,2,2,2,2,2,3,2,3,3,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,3,3,2,2,2,3,2,2,2
4,4,3,4,4,4,4,5,5,4,4,4,4,4,4,3,3,1
2,3,3,3,3,2,2,2,2,3,3,3,3,3,3,4,4,1
4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
2,3,2,2,2,2,2,3,2,3,3,2,2,2,2,2,2,2
3,3,3,2,3,3,4,4,3,4,5,4,4,4,4,4,4,1
3,2,3,3,3,3,4,4,4,4,4,4,4,3,3,3,4,1
3,3,3,2,3,3,3,4,2,3,3,4,4,4,3,3,4,1
4,4,4,4,3,4,4,4,4,4,4,4,4,5,4,4,4,1
4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,4,1
4,4,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,2
4,4,3,4,4,3,3,4,2,3,3,4,3,4,4,3,3,2
3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,2
2,3,3,3,3,3,3,4,2,3,3,4,4,4,4,5,4,2
3,4,4,3,4,3,4,4,4,3,3,3,3,4,4,4,4,1
4,4,4,4,5,4,4,4,4,4,4,4,4,3,4,4,4,1
3,2,2,3,3,4,4,4,4,4,4,5,3,4,4,3,3,1
4,4,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,1
3,2,3,3,3,4,3,4,4,4,4,3,3,3,3,3,3,2
3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,2
2,3,3,3,3,3,3,4,2,3,3,4,4,4,4,5,4,2
3,3,3,2,3,3,3,2,3,3,3,4,3,3,3,3,3,1
3,4,4,4,3,4,4,4,4,5,5,4,4,4,4,4,4,1
4,4,4,4,3,4,5,3,3,5,5,4,4,5,4,2,2,1
3,3,3,2,3,3,3,2,3,3,3,4,3,3,3,3,3,1
3,4,4,4,3,4,4,4,4,5,5,4,4,4,4,4,4,1
4,4,4,4,3,4,4,4,4,4,4,4,4,5,4,4,4,1
4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,4,1
4,4,4,4,3,4,5,3,3,5,5,4,4,5,4,2,2,1
3,2,3,2,3,2,3,3,3,2,3,4,4,4,4,4,4,1
3,3,3,3,4,4,4,3,3,4,4,4,3,3,3,3,3,1
3,4,4,4,3,3,4,3,4,4,4,3,4,4,4,3,3,2
3,4,4,4,4,4,3,3,3,4,3,4,3,3,4,4,3,1
4,4,3,4,3,3,4,4,3,4,4,4,4,4,3,4,4,1
4,4,4,4,4,4,3,3,4,4,3,4,3,3,3,3,3,1
4,4,3,4,4,4,4,4,3,4,4,3,3,3,4,4,4,2
4,4,4,4,3,3,4,3,3,4,3,4,4,4,3,3,3,1
4,4,3,4,4,3,4,3,3,4,3,4,3,4,4,3,3,1
3,4,3,4,4,3,3,3,3,4,3,4,3,3,4,4,3,1
3,4,4,4,4,3,3,3,3,4,4,4,4,3,4,4,3,1
3,4,4,4,4,4,4,4,4,4,3,4,3,4,3,3,4,2
3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,1
4,4,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,1
4,4,4,3,4,3,4,4,3,4,5,4,4,4,4,4,4,2
3,3,4,3,4,4,4,4,2,3,2,4,3,5,3,4,4,2
5,4,5,4,5,5,4,5,4,4,4,4,4,4,4,4,3,1
2,3,3,3,3,3,3,3,2,3,4,3,3,3,4,4,2,2
2,3,3,4,3,3,4,3,3,4,3,1,5,3,2,2,4,1
2,3,2,2,2,2,2,3,2,3,3,2,2,2,2,2,2,2
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1
4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,1
4,4,4,4,3,4,4,4,4,5,5,4,3,4,4,3,3,1
2,3,3,4,3,3,4,3,3,4,3,1,5,3,2,2,4,1
